No.,Time,Source,Destination,Protocol,Length,Info
394046,811.136754,10.239.16.243,10.218.185.154,TCP,56,34685  >  5223 [ACK] Seq=73017 Ack=32578 Win=2046 Len=0 TSval=3556948713 TSecr=2503354961
394047,811.141028,10.239.16.243,10.218.185.154,TLSv1.2,88,Application Data
394048,811.160951,10.239.16.243,10.218.185.154,TCP,1444,34685  >  5223 [ACK] Seq=73049 Ack=32578 Win=2048 Len=1388 TSval=3556948737 TSecr=2503354961 [TCP PDU reassembled in 394051]
394049,811.161133,10.239.16.243,10.218.185.154,TCP,1444,34685  >  5223 [ACK] Seq=74437 Ack=32578 Win=2048 Len=1388 TSval=3556948737 TSecr=2503354961 [TCP PDU reassembled in 394051]
394050,811.161209,10.239.16.243,10.218.185.154,TCP,1444,34685  >  5223 [ACK] Seq=75825 Ack=32578 Win=2048 Len=1388 TSval=3556948737 TSecr=2503354961 [TCP PDU reassembled in 394051]
394051,811.161337,10.239.16.243,10.218.185.154,TLSv1.2,126,Application Data
394052,811.17734,10.239.16.243,10.218.185.154,TLSv1.2,138,Application Data
394053,811.220558,10.218.185.154,10.239.16.243,TCP,56,5223  >  34685 [ACK] Seq=32578 Ack=74437 Win=1082 Len=0 TSval=2503355045 TSecr=3556948717
394054,811.220667,10.218.185.154,10.79.81.239,TCP,66,5223  >  64067 [ACK] Seq=32578 Ack=71661 Win=1082 Len=0 TSval=2503355045 TSecr=3556948717
394055,811.224587,10.218.185.154,10.239.16.243,TCP,56,5223  >  34685 [ACK] Seq=32578 Ack=77213 Win=1116 Len=0 TSval=2503355046 TSecr=3556948737
394056,811.224683,10.218.185.154,10.79.81.239,TCP,66,5223  >  64067 [ACK] Seq=32578 Ack=74437 Win=1116 Len=0 TSval=2503355046 TSecr=3556948737
394057,811.236567,10.218.185.154,10.239.16.243,TCP,56,5223  >  34685 [ACK] Seq=32578 Ack=77365 Win=1116 Len=0 TSval=2503355062 TSecr=3556948737
394058,811.236571,10.218.185.154,10.239.16.243,TLSv1.2,92,Application Data
394059,811.236685,10.218.185.154,10.79.81.239,TCP,66,5223  >  64067 [ACK] Seq=32578 Ack=74589 Win=1116 Len=0 TSval=2503355062 TSecr=3556948737
394060,811.236721,10.218.185.154,10.79.81.239,TLSv1.2,102,Application Data
394061,811.237968,10.239.16.243,10.218.185.154,TCP,56,34685  >  5223 [ACK] Seq=77365 Ack=32614 Win=2047 Len=0 TSval=3556948814 TSecr=2503355062
394062,811.243148,10.239.16.243,10.218.185.154,TCP,1444,34685  >  5223 [ACK] Seq=77365 Ack=32614 Win=2048 Len=1388 TSval=3556948819 TSecr=2503355062 [TCP PDU reassembled in 394065]
394063,811.243251,10.239.16.243,10.218.185.154,TCP,1444,34685  >  5223 [ACK] Seq=78753 Ack=32614 Win=2048 Len=1388 TSval=3556948819 TSecr=2503355062 [TCP PDU reassembled in 394065]
394064,811.243305,10.239.16.243,10.218.185.154,TCP,1444,34685  >  5223 [ACK] Seq=80141 Ack=32614 Win=2048 Len=1388 TSval=3556948819 TSecr=2503355062 [TCP PDU reassembled in 394065]
394065,811.243367,10.239.16.243,10.218.185.154,TLSv1.2,126,Application Data
394066,811.295633,10.218.185.154,10.239.16.243,TLSv1.2,588,Application Data
394067,811.295746,10.218.185.154,10.79.81.239,TLSv1.2,598,Application Data
394068,811.29696,10.239.16.243,10.218.185.154,TCP,56,34685  >  5223 [ACK] Seq=81599 Ack=33146 Win=2039 Len=0 TSval=3556948873 TSecr=2503355122
394069,811.299771,10.239.16.243,10.218.185.154,TLSv1.2,88,Application Data
394070,811.306591,10.218.185.154,10.239.16.243,TCP,56,5223  >  34685 [ACK] Seq=33146 Ack=80141 Win=1116 Len=0 TSval=2503355130 TSecr=3556948819
394071,811.306676,10.218.185.154,10.79.81.239,TCP,66,5223  >  64067 [ACK] Seq=33146 Ack=77365 Win=1116 Len=0 TSval=2503355130 TSecr=3556948819
394072,811.31261,10.218.185.154,10.239.16.243,TCP,56,5223  >  34685 [ACK] Seq=33146 Ack=81599 Win=1116 Len=0 TSval=2503355139 TSecr=3556948819
