No.,Time,Source,Destination,Protocol,Length,Info
8782,2130.154753,10.148.138.27,10.214.183.228,TLSv1.2,314,Application Data
8783,2130.154798,10.148.138.27,10.214.183.228,QUIC,62,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
8784,2130.155224,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8785,2130.155592,10.214.183.228,10.148.138.27,TCP,40,443  >  46090 [ACK] Seq=34532 Ack=3347 Win=1571840 Len=0
8786,2130.155832,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8787,2130.155982,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8788,2130.156229,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8789,2130.156323,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8790,2130.156403,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8791,2130.156479,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8792,2130.156555,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8793,2130.156633,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8794,2130.156708,10.214.183.228,10.148.138.27,QUIC,54,Protected Payload (KP0)
8795,2130.156786,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8796,2130.157007,10.148.138.27,10.214.183.228,QUIC,61,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
8797,2130.157157,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8798,2130.157249,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8799,2130.157350,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8800,2130.157429,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8801,2130.157511,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8802,2130.157617,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8803,2130.157716,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8804,2130.157796,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8805,2130.157891,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8806,2130.158335,10.148.138.27,10.214.183.228,QUIC,61,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
8807,2130.158550,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8808,2130.158690,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8809,2130.158774,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8810,2130.158851,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8811,2130.158931,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8812,2130.159011,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8813,2130.159089,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8814,2130.159184,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8815,2130.159275,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8816,2130.159353,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8817,2130.159429,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8818,2130.159891,10.148.138.27,10.214.183.228,QUIC,61,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
8819,2130.160198,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8820,2130.160327,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8821,2130.160412,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8822,2130.160508,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8823,2130.160594,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8824,2130.167426,10.148.138.27,10.214.183.228,QUIC,62,"Protected Payload (KP0), DCID=e5ecf5b8ce4d648e"
8825,2130.168011,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8826,2130.168424,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8827,2130.168492,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8828,2130.168646,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
8829,2130.169158,10.214.183.228,10.148.138.27,QUIC,1278,Protected Payload (KP0)
